object_id,name,description,type,project_stage,year_implemented,partners,idea_description,collector,source,photos,need_volunteers,need_funding,need_site_access,need_design,need_materials,need_volunteers_2,need_funding_2,need_materials_2,need_tools2,address,location,latitude,longitude
0382A00110000000,Bee & Butterfly Trail Garden,"This site's proximity to the Great Allegheny Passage makes it ideal for a garden full of Pennsylvania native plants that attract birds, bees and other wildlife. This site is ReClaim Ambassador Julie's project. ReClaim McKeesport is a program of GTECH Strategies. For more information, please visit us at https://gtechstrategies.org/projects/reclaim-mckeesport/",Not specified,A project that is in progress ,,,,GTECH Strategies,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-5-26-unknown-location-7m30bl9.jpg | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-5-26-unknown-location-7n40bix.JPG | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-5-26-unknown-location-7o50bsm.jpg,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Unknown Location,Unknown,40.34460236,-79.8650469
0382A00110000000,Great Allegheny Passage Trail Garden,ReClaim McKeesport Ambassador Julie created a trail garden full of bee-and-butterfly-attracting plants! ,Trail Pathway,A project that has been implemented ,2015,"Youth CAST, McKeesport Trail Commission",,GTECH Strategies,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-10-5-unknown-location-sm20qhl.jpg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown Location,McKeesport,40.34460236,-79.8650469
0307G00395000909,,,Not specified,An idea for a lot,,,"Bee & Butterfly Trail Garden. This site's proximity to the Great Allegheny Passage makes it ideal for a garden full of Pennsylvania native plants that attract birds, bees and other wildlife. This site is ReClaim Ambassador Julie's project. ReClaim McKeesport is a program of GTECH Strategies. For more information, please visit us at https://gtechstrategies.org/projects/reclaim-mckeesport/",GTECH,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-4-6-unknown-location-ao303y8.pdf | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-4-6-unknown-location-ao2031t.png,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Unknown Location,Unknown,40.34486155,-79.86499841
0307G00395000909,Bee & Butterfly Trail Garden,"This site's proximity to the Great Allegheny Passage makes it ideal for a garden full of Pennsylvania native plants that attract birds, bees and other wildlife. This site is ReClaim Ambassador Julie's project. ReClaim McKeesport is a program of GTECH Strategies. For more information, please visit us at https://gtechstrategies.org/projects/reclaim-mckeesport/",Not specified,A project that is in progress ,,,,GTECH Strategies,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-5-26-unknown-location-gj10qwq.JPG | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-5-26-unknown-location-g800qao.jpg | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-5-26-unknown-location-gj20qdp.jpg,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Unknown Location,Unknown,40.34486155,-79.86499841
0307G00395000909,Great Allegheny Passage Trail Garden,ReClaim McKeesport Ambassador Julie created a trail garden full of bee-and-butterfly-attracting plants! ,Trail Pathway,A project that has been implemented ,2015,"Youth CAST, McKeesport Trail Commission",,GTECH Strategies,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-10-5-unknown-location-ql10qgy.jpg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown Location,McKeesport,40.34486155,-79.86499841
0307R00187000000,,,Not specified,An idea for a lot,,,"ReClaim McKeesport Ambassador Shari would like to turn this into a beautiful gateway to the Library District in McKeesport. For more information, visit us at https://gtechstrategies.org/projects/reclaim-mckeesport/.  ",GTECH,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-4-8-1424--versailles-ave-mckeesport-3010mgs.jpg | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-4-8-1424--versailles-ave-mckeesport-2z00mby.jpeg,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1424  VERSAILLES AVE MCKEESPORT,McKeesport,40.34655541,-79.85607259
0307R00187000000,Library District Gateway Garden,"ReClaim McKeesport Ambassador Shari would like to turn this into a beautiful gateway to the Library District in McKeesport. For more information, visit us at https://gtechstrategies.org/projects/reclaim-mckeesport/.",Not specified,A project that is in progress ,,,,GTECH Strategies,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-5-26-1424--versailles-ave-mckeesport-7va0b6g.jpg | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-5-26-1424--versailles-ave-mckeesport-7v90buv.jpg | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-5-26-1424--versailles-ave-mckeesport-7vb0bh5.jpg,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1424  VERSAILLES AVE MCKEESPORT,McKeesport,40.34655541,-79.85607259
0307R00187000000,,,Not specified,A project that is in progress ,,,,Jibran,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-6-26-1424--versailles-ave-mckeesport-xqf0ve4.jpg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1424  VERSAILLES AVE MCKEESPORT,McKeesport,40.34655541,-79.85607259
0307R00187000000,Library District Gateway Garden,"ReClaim McKeesport Ambassador Shari has created a gateway garden to McKeesport's library district. The site of a demolished vacant home, Shari's garden is warm and welcoming, and can be utilized by anyone - especially the Little Free Library on site!",Park Parklet,A project that has been implemented ,2015,"Tube City Renaissance, Carnegie Library of McKeesport",,GTECH Strategies,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-10-5-1424--versailles-ave-mckeesport-h5s0cfj.jpg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1424  VERSAILLES AVE MCKEESPORT,McKeesport ,40.34655541,-79.85607259
0382G00387000000,,,Not specified,An idea for a lot,,,"ReClaim McKeesport Ambassador Kim would like to turn this corner lot into a beautiful gateway garden and children's playspace. For more information, visit us at https://gtechstrategies.org/projects/reclaim-mckeesport/.  ",GTECH,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-4-8-1442--grant-st-mckeesport-y710h91.pdf | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-4-8-1442--grant-st-mckeesport-y600h8s.png,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1442  GRANT ST MCKEESPORT,McKeesport,40.34156004,-79.8579011
0382G00387000000,Play in the Bouquet,"After asking her neighbors, she discovered that the residents would like to see a community gathering space and a safe place for youth to play. She strives to create that space for her community. As of now her site will also include seating, lighting and plenty of colorful flowers (thus the name of the space). Kim hopes to add pay equipment and a pavilion in the near future.",Not specified,A project that is in progress ,,,,Jibran Ahmed,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-6-1-1442--grant-st-mckeesport-n9e0c7m.JPG | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-6-1-1442--grant-st-mckeesport-n9d0cdg.JPG | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-6-1-1442--grant-st-mckeesport-naf0cya.JPG,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1442  GRANT ST MCKEESPORT,McKeesport,40.34156004,-79.8579011
0382G00387000000,Play in the Bouquet,ReClaim McKeesport Ambassador Kim created a welcoming corner garden and picnic space in her neighborhood for the local kids to play and interact on. ,Park Parklet,A project that has been implemented ,2015,,,GTECH Strategies,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-10-5-1442--grant-st-mckeesport-34r0c7o.jpg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1442  GRANT ST MCKEESPORT,McKeesport,40.34156004,-79.8579011
0382G00225000000,,,Not specified,An idea for a lot,,,"ReClaim McKeesport Ambassador Dana would like to turn this into a community parklet and outdoor space. For more information, visit us at https://gtechstrategies.org/projects/reclaim-mckeesport/.  ",GTECH,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-4-8-unknown-location-5m20hrj.png | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-4-8-unknown-location-5m30hpf.pdf,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Unknown Location,Unknown,40.34200875,-79.85669034
0382G00225000000,Reservoir Retreat,"Dana is transforming a former reservoir site into a flourishing community space. The space will utilize recycled materials for seating and art pieces. She envisions her friends and neighbors using the space to have a picnic, walk their dogs or stroll alongside the flowers and trees.",Not specified,A project that is in progress ,,,,Jibran Ahmed,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-6-1-unknown-location-yfl0oi6.jpg | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-6-1-unknown-location-ygm0ou8.JPG | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-6-1-unknown-location-yhn0oij.JPG,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Unknown Location,Unknown,40.34200875,-79.85669034
0382G00225000000,Reservoir Retreat,https://gtechstrategies.org/projects/reservoir-retreat/,Park Parklet,A project that has been implemented ,2015,"The City of McKeesport, The McKeesport Area School District",,Jibran,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-6-26-unknown-location-y090q93.jpg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown Location,Unknown,40.34200875,-79.85669034
0382G00225000000,Reservoir Retreat,"ReClaim McKeesport Ambassador Dana has created a community space out of a vacant lot spanning 43,000 sq ft! With the addition of trees, a toolshed, garden beds, a path and a picnic area, the community is sure to get use out of this space.",Park Parklet,A project that has been implemented ,2015,,,GTECH Strategies,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-10-5-unknown-location-4l30qf8.jpg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown Location,McKeesport ,40.34200875,-79.85669034
0381P00180000000,,,Not specified,An idea for a lot,,,"ReClaim McKeesport Ambassador Rochelle would like to turn this into a beautiful gateway to the Meyer Park neighborhood in McKeesport. For more information, visit us at https://gtechstrategies.org/projects/reclaim-mckeesport/.  ",GTECH,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-4-8-2001--duquesne-ave-mckeesport-wo50hlm.pdf | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-4-8-2001--duquesne-ave-mckeesport-wo40hl5.png,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2001  DUQUESNE AVE MCKEESPORT,McKeesport,40.33799404,-79.84488829
0308M00129000000,,,Not specified,An idea for a lot,,,ReClaim McKeesport Ambassador Rhonda wants to turn this lot into a community gathering space. Find out more at https://gtechstrategies.org/projects/reclaim-mckeesport/,GTECH,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-4-8-626--market-st-mckeesport-0a60hl1.pdf,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,626  MARKET ST MCKEESPORT,McKeesport,40.34890821,-79.86659124
0308M00129000000,Noah's Ark Community Park,ReClaim McKeesport Ambassador Rhonda wants to turn this lot into a community gathering space. Find out more at https://gtechstrategies.org/projects/reclaim-mckeesport/,Not specified,A project that is in progress ,,,,GTECH Strategies,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-5-26-626--market-st-mckeesport-0c10bki.JPG | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-5-26-626--market-st-mckeesport-0c20b01.JPG | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-5-26-626--market-st-mckeesport-yl00bgb.jpg,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,626  MARKET ST MCKEESPORT,McKeesport,40.34890821,-79.86659124
0308M00129000000,Great Allegheny Passage Trail Garden,"ReClaim McKeesport Ambassador Julie built a beautiful trail garden along the new GAP route in McKeesport. Using native plants that will attract bees and butterflies, Julie reclaimed a vacant lot full of slag from an old mill.",Trail Pathway,A project that has been implemented ,2015,"McKeesport Trail Commission, Youth CAST",,GTECH Strategies,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-10-5-626--market-st-mckeesport-syo0caf.jpg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,626  MARKET ST MCKEESPORT,McKeesport,40.34890821,-79.86659124
0308M00129000000,Noah's Ark Community Park,"ReClaim McKeesport Ambassador Rhonda turned the site of the former Hitzrot House into a blossoming community park. With stump jumps and a picnic area, this park can be utilized in a variety of ways.",Park Parklet,A project that has been implemented ,2015,Bethlehem Baptist Church,,GTECH Strategies,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-10-5-626--market-st-mckeesport-a4p0car.jpg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,626  MARKET ST MCKEESPORT,McKeesport,40.34890821,-79.86659124
0308M00209000000,,,Not specified,An idea for a lot,,,ReClaim McKeesport Ambassador Sharon wants to turn this lot into an outdoor community gathering space. Find out more at https://gtechstrategies.org/projects/reclaim-mckeesport/,GTECH,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-4-8-unknown-location-ga20m0m.png | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-4-8-unknown-location-ga30mdy.pdf,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Unknown Location,Unknown,40.35032026,-79.86829732
0308M00209000000,Palisades Butterfly Garden,ReClaim McKeesport Ambassador Sharon implemented a butterfly garden next to the McKeesport Palisades.,Flower Garden,A project that has been implemented ,2015,"The Palisades, McKeesport Lions Club, Trail Commission",,GTECH Strategies,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-10-5-unknown-location-q000qnz.jpg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown Location,McKeesport,40.35032026,-79.86829732
0308M00208000000,,,Not specified,An idea for a lot,,,ReClaim McKeesport Ambassador Sharon wants to turn this lot into an outdoor community gathering space. Find out more at https://gtechstrategies.org/projects/reclaim-mckeesport/,GTECH,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-4-8-unknown-location-lc40mg4.png | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-4-8-unknown-location-lc50mj3.pdf,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Unknown Location,Unknown,40.35042131,-79.86832297
0308M00208000000,Palisades Butterfly Garden,https://gtechstrategies.org/projects/palisades-butterfly-garden/,Not specified,A project that is in progress ,,"The Kiwanis Club, The Lions Club, The Salvation Army, The Carnegie Library, McKeesport Heritage Center, McKeesport Trail Commission, The McKeesport Palisades, Women of Achievement Committee, The City of McKeesport, McKeesport School District",,Jibran,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-6-26-unknown-location-fwk0v7s.jpg,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Unknown Location,Unknown,40.35042131,-79.86832297
0308M00208000000,Palisades Butterfly Garden,ReClaim McKeesport Ambassador Sharon implemented a butterfly garden next to the McKeesport Palisades.,Flower Garden,A project that has been implemented ,2015,"The Palisades, McKeesport Lions Club, Trail Commission",,GTECH Strategies,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-10-5-unknown-location-pbn0c3v.jpg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown Location,McKeesport,40.35042131,-79.86832297
0307J00379000001,,,Not specified,An idea for a lot,,,ReClaim McKeesport Ambassador Walt wants to embrace McKeesport history and beautify this space. Find out more at https://gtechstrategies.org/projects/reclaim-mckeesport/,GTECH,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-4-8-unknown-location-xi70h9x.png | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-4-8-unknown-location-xm80hgw.jpg,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Unknown Location,Unknown,40.34980798,-79.86436378
